-0.77633,1.982,3.7815,4.0812,3.9468,1.3287,-0.23319,-8.0454,-3.9936,0.97226,-2.72,-8.2243,-5.1186,-3.9415,-6.0481,-4.8556,0.60857,-0.54161,-3.3188
-1.2894,0.24209,4.0519,3.6891,2.3823,1.3112,-0.2558,-6.0377,-2.3938,0.71707,-2.8046,-5.865,-4.7004,-3.6616,-6.5831,-4.8842,0.21817,-0.68107,-3.1696
-1.9676,-1.9399,4.3939,3.2844,0.45186,2.2406,-0.1665,-2.1923,0.52,0.88604,-2.7182,-0.92338,-2.7168,-2.536,-6.6225,-4.4033,0.04688,-0.38962,-2.3798
-2.7223,-4.172,4.7681,2.8972,-1.5114,4.1559,-0.012758,3.1019,4.2746,1.507,-2.4829,6.1185,0.54544,-0.64952,-6.1358,-3.4602,0.266,0.34111,-1.0466
-3.4432,-5.952,5.0929,2.5128,-3.1385,6.7386,0.083894,8.8332,7.907,2.4407,-2.2091,13.866,4.1602,1.6089,-5.3005,-2.3108,0.95337,1.3165,0.49215
-4.0261,-6.8214,5.2475,2.0596,-4.155,9.3657,-0.037627,13.63,10.242,3.4127,-2.0547,20.385,6.8173,3.6609,-4.4499,-1.3366,2.0501,2.1909,1.7532
-4.4192,-6.5325,5.084,1.4336,-4.4752,11.324,-0.51014,16.252,10.341,4.126,-2.1613,23.896,7.3271,4.961,-3.9358,-0.89302,3.3536,2.5934,2.2957
-4.6405,-5.1681,4.4716,0.54078,-4.2504,12.066,-1.3857,16.062,7.9125,4.3673,-2.6189,23.476,5.1242,5.2046,-3.9851,-1.1738,4.5805,2.2769,1.8886
-4.7845,-3.1611,3.3401,-0.65973,-3.8158,11.421,-2.6195,13.318,3.5082,4.0973,-3.4258,19.481,0.57504,4.4491,-4.61,-2.1294,5.4369,1.2447,0.62147
-4.969,-1.1589,1.7397,-2.1038,-3.5582,9.6699,-4.0761,9.1012,-1.6256,3.4737,-4.4844,13.461,-5.0936,3.0941,-5.6119,-3.5,5.7439,-0.23261,-1.1178
-5.2856,0.18079,-0.15273,-3.6188,-3.7651,7.4265,-5.5852,4.9075,-6.0014,2.7743,-5.646,7.5736,-10.247,1.7028,-6.6697,-4.9091,5.487,-1.6999,-2.7859
-5.7372,0.4307,-2.0594,-4.9639,-4.5031,5.3968,-6.9796,2.085,-8.419,2.2726,-6.7267,3.7699,-13.436,0.77371,-7.4479,-6.01,4.8129,-2.6879,-3.8873
-6.2293,-0.4428,-3.6785,-5.9024,-5.5752,4.1107,-8.1055,1.3327,-8.3877,2.1219,-7.5097,3.0803,-13.925,0.57355,-7.6727,-6.5729,3.9709,-2.8874,-4.1399
-6.6089,-2.069,-4.795,-6.2935,-6.6026,3.7413,-8.8504,2.4688,-6.2853,2.2709,-7.778,5.2726,-11.955,1.0438,-7.2079,-6.5481,3.1924,-2.2895,-3.587
-6.7402,-3.8242,-5.3513,-6.1421,-7.1953,4.0908,-9.1607,4.5685,-3.1565,2.493,-7.3865,9.054,-8.6047,1.8719,-6.0744,-6.0411,2.6062,-1.1663,-2.5585
-6.5684,-5.0791,-5.4492,-5.5899,-7.1118,4.7263,-9.0533,6.3936,-0.27944,2.493,-6.3426,12.646,-5.3406,2.6362,-4.4357,-5.2533,2.2136,0.044644,-1.537
-6.1461,-5.438,-5.2796,-4.8465,-6.3629,5.1871,-8.6096,6.883,1.3259,2.0435,-4.8704,14.481,-3.4644,2.9816,-2.5634,-4.4033,1.9299,0.92987,-0.96333
-5.6359,-4.8934,-5.025,-4.1118,-5.2162,5.1847,-7.9653,5.5677,1.2707,1.0959,-3.3854,13.776,-3.6198,2.7425,-0.758,-3.6752,1.653,1.2589,-1.0657
-5.2286,-3.7965,-4.7688,-3.5033,-4.0824,4.712,-7.2655,2.7207,-0.091982,-0.18176,-2.3451,10.769,-5.5867,1.9941,0.73498,-3.1707,1.3315,1.066,-1.7687
-5.0688,-2.6778,-4.4544,-3.02,-3.3484,4.0471,-6.6195,-0.75276,-1.8452,-1.4447,-2.0529,6.5836,-8.3947,1.0403,1.8344,-2.8476,1.009,0.62839,-2.7052
-5.1933,-2.0313,-3.9697,-2.6085,-3.236,3.5856,-6.0843,-3.7173,-2.9442,-2.3452,-2.5234,2.7332,-10.791,0.24764,2.5875,-2.5842,0.77541,0.29017,-3.4265
-5.5174,-2.1197,-3.2281,-2.2543,-3.7124,3.6285,-5.653,-5.2643,-2.6658,-2.698,-3.4736,0.49956,-11.788,-0.13408,3.0764,-2.281,0.70423,0.28349,-3.6243
